,Company site,Traded on,Revenue,Operating income,Net income,Total assets,Total equity
33,http://www.adidas.com,FWB,€21.915 billion,€2.368 billion,€1.702 billion,€15.612 billion,€6.364 billion
34,https://accenture.com,NYSE,US$61.6 billion,US$9.37 billion,US$6.99 billion,US$47.26 billion,US$22.75 billion
35,https://www.paypal.com,Nasdaq,US$27.52 billion,US$3.84 billion,US$2.42 billion,US$78.72 billion,US$20.27 billion
36,https://www.jnj.com,NYSE,US$94.94 billion,US$21.73 billion,US$17.94 billion,US$187.4 billion,US$76.80 billion
37,https://costco.com,Nasdaq,US$226.95 billion,$7.7 billion,$5.84 billion,$64.17 billion,$20.64 billion
38,https://pg.com,NYSE,US$80.2 billion,US$17.8 billion,US$14.4 billion,US$117.2 billion,US$46.8 billion
39,https://www.viacomcbs.com,Nasdaq,US$30.15 billion,US$2.342 billion,US$1.104 billion,US$58.39 billion,US$23.04 billion
40,https://www.doordash.com,NYSE,US$6.583 billion,–US$1.12 billion,–US$1.37 billion,US$9.789 billion,US$6.754 billion
41,https://www.toyota.com,TYO,¥27.214.594 million,¥2.197.748 million,¥2.282.378 million ,¥62.267.140 million,¥24.288.329 million
42,https://www.att.com,NYSE,US$120.74 billion,US$−4.59 billion,US$−8.52 billion,US$402.85 billion,US$106.46 billion
43,https://www.adobe.com,Nasdaq,US$15.785 billion,US$5.802 billion,US$4.822 billion,US$27.241 billion,US$14.797 billion
44,https://cisco.com,Nasdaq,US$51.56 billion,US$13.97 billion,US$11.81 billion,US$94.00 billion,US$39.77 billion
45,https://www.loreal.com,Euronext Paris,€32.28 billion,€6.16 billion,€4.59 billion,€43.81 billion,€29.42 billion
46,https://www.barclays.co.uk/Barclays,LSE,£24.956 billion,£7.012 billion,£5.973 billion,£1.514 trillion,£69.260 billion
47,https://corporate.comcast.com,Nasdaq,US$121.4 billion,US$14.04 billion,US$5.37 billion,US$275.3 billion,US$80.94 billion
48,https://www.nvidia.com,Nasdaq,US$26.97 billion,US$4.224 billion,US$4.368 billion,US$41.18 billion,US$22.10 billion
49,https://www.intuitivesurgical.com,Nasdaq,US$6.22 billion,US$1.58 billion,US$1.32 billion,US$12.97 billion,US$11.11 billion
50,https://www.dell.com,NYSE,US$101.19 billion,US$5.923 billion,US$5.563 billion,US$92.659 billion,
52,https://www.gapinc.com,NYSE,US$15.616 billion,US$−69 million,US$−202 million,US$11.386 billion,US$2.233 billion
53,https://wbd.com,Nasdaq,US$33.8 billion,US$−8.96 billion,US$−7.29 billion,US$134.00 billion,US$48.35 billion
55,https://www.snap.com,NYSE,US$4.60 billion,US$−1.40 billion,US$−1.43 billion,US$8.03 billion,US$2.58 billion
56,https://www.blackstone.com,NYSE,US$7.13 billion,,US$12.375 billion,US$41.196 billion,US$9.423 billion
57,http://www.blackrock.com,NYSE,US$17.87 billion,US$6.39 billion,US$5.18 billion,US$117.6 billion,US$37.74 billion
58,https://www.mastercard.usMastercard,NYSE,US$22.24 billion,US$12.26 billion,US$9.93 billion,US$38.72 billion,US$6.30 billion
59,https://www.verizon.com,NYSE,US$136.8 billion,US$30.47 billion,US$21.75 billion,US$379.7 billion,US$92.46 billion
60,http://www.volkswagenag.com,FWB,€250.200 billion,€20.126 billion,€15.428 billion,€528.609 billion,€144.449 billion
61,https://www.americanexpress.com,NYSE,US$50.68 billion,US$10.69 billion,US$9.59 billion,US$228.35 billion,US$24.71 billion
62,https://www.tesco.com,LSE,£61.344 billion,£2.825 billion,£1.483 billion,£12.189 billion,£15.644 billion
63,https://www.foxcorporation.com,Nasdaq,US$12.91 billion,US$2.77 billion,US$2.15 billion,US$22.93 billion,US$11.39 billion
65,https://www.lvmh.fr/LVMH,Euronext Paris,€64.215 billion,€17.155 billion,€12.036 billion,€125.311 billion,€48.909  billion
66,https://www.dominos.com,NYSE,US$4.357 billion,US$780.4 million,US$510.4 million,US$1.671 billion,-US$4.209 billion
68,https://block.xyz/Block_(company),NYSE,US$17.53 billion,−US$625 million,−US$541 million,US$31.36 billion,US$17.22 billion
69,https://www.nestle.com,SIX,CHF 94.424 billion,CHF 13.195 billion,CHF 9.596 billion,CHF 135.182 billion,CHF 42.792 billion
70,https://www.colgatepalmolive.com,NYSE,US$17.421 billion,US$3.332 billion,US$2.166 billion,US$15.040 billion,US$0.971 billion
71,https://www.unilever.com,LSE,€60.073 billion,€10.755 billion,€8.269 billion,€77.821 billion,€21.701 billion
72,https://corporate.exxonmobil.com,NYSE,US$413.68 billion,US$77.753 billion,US$55.740 billion,US$369.07 billion,US$195.05 billion
73,https://www.thermofisher.com,NYSE,US$44.92 billion,US$8.39 billion,US$6.95 billion,US$97.15 billion,US$43.98 billion
74,http://www.kelloggcompany.com,NYSE,US$13.547 billion,US$1.706 billion,US$1.344 billion,US$17.780 billion,US$3.159 billion
75,https://www.unitedhealthgroup.com,NYSE,US$285.273 billion,US$21.646 billion,US$17.285 billion,US$212.206 billion,US$75.045 billion
76,https://www.astrazeneca.com,LSE,US$44.351 billion,US$3.757 billion,US$3.293 billion,US$96.483 billion,US$37.058 billion
77,http://rivian.com,Nasdaq,US$1.66 billion,US$−6.8 billion,US$−6.7 billion,US$17.9 billion,US$13.8 billion
78,http://www.tsmc.com,TWSE,US$57.22 billion,US$23.43 billion,US$21.35 billion,US$134.29 billion,US$77.48 billion
79,https://www.kroger.com,NYSE,US$137.888 billion,US$3.477 billion,US$1.655 billion,US$49.086 billion,US$9.452 billion
80,https://www.3m.com,NYSE,US$34.22 billion,US$6.54 billion,US$5.79 billion,US$46.46 billion,US$14.72 billion
81,https://www.honeywell.com,Nasdaq,US$35.47 billion,US$6.38 billion,US$4.97 billion,US$62.28 billion,US$17.32 billion
82,https://www.ebay.com,Nasdaq,US$9.79 billion,US$2.35 billion,US$−1.27 billion,US$20.85 billion,US$5.15 billion
83,https://www.amd.com,Nasdaq,US$23.60 billion,US$1.26 billion,US$1.32 billion,US$67.58 billion,US$54.75 billion
84,http://www.fedex.com,NYSE,US$93.512 billion,US$6.245 billion,US$3.826 billion,US$85.994 billion,US$24.939 billion
85,http://ocbc.com,SGX,S$9.7 billion,,S$6.33 billion,S$ 521.3 billion,S$51.1 billion
86,https://hersheys.com,NYSE,US$8.97 billion,US$2.04 billion,US$1.48 billion,US$10.41 billion,US$2.76 billion
87,https://www.sap.com,FWB,€30.87 billion,€4.67 billion,€1.71 billion,€72.16 billion,€42.85 billion
88,https://wework.com,NYSE,US$3.245 billion,−US$1.59 billion,−US$2.03 billion,US$17.86 billion,−US$3.67 billion
89,http://www3.lenovo.com,SEHK,US$71.618 billion,US$3.081 billion,US$2.145 billion,US$44.51 billion,US$5.395 billion
90,http://colesgroup.com,ASX,A$38.464 billion,,A$1.467 billion,A$9.777 billion,A$3.357 billion
91,https://www.hsbc.com,LSE,US$51.727 billion,US$17.528 billion,US$16.670 billion,US$2.966 trillion,US$196.028 billion
92,https://www.genting.com,MYX,RM13.53 Billion,–RM970.8 Billion,–RM1.41 Billion,RM102.45 Billion,RM53.16 Billion
93,https://www.bmwgroup.com,FWB,€111.239 billion,€16.060 billion,€12.463 billion,€229.527 billion,€75.132 billion
94,https://www.tui.co.uk/TUI Group,FWB,€16.544.9 million,€320.0 million,– €212.6 million,,
95,https://www.techmahindra.com,BSE,₹38.642 crore,₹6.126 crore,₹4.353 crore,₹46.153.30 crore,₹27.924.50 crore
